9515-10a	NC_016657
ACG-2014b	NC_027130
ACG-2014c_C97	KJ019063
ACG-2014d	NC_026923
ACG-2014e	NC_026928
ACG-2014f	NC_026927
ACG-2014g	NC_026924
ACG-2014i	NC_027132
KBS-S-2A	NC_020854
MED4-117	NC_020857
MED4-213	NC_020845
metaG-MbCM1	NC_019443
NATL1A-7	NC_016658
NATL2A-133	NC_016659
P-GSP1	NC_020878
P-HM1	NC_015280
P-HM2	NC_015284
P-RSM1	NC_021071
P-RSM3	HQ634176
P-RSM4	NC_015283
P-RSM6	NC_020855
P-RSP2	HQ332139
P-SS2	NC_013021
P-SSM5	HQ632825
P-SSM7	NC_015290
P-SSP10	NC_020835
P-SSP2	NC_016656
P-SSP3	NC_020874
P-SSP7	NC_006882
P-TIM68	KM359505
P60	NC_003390
S-CAM1_0208SB26	HQ634177
S-CAM22	NC_031903
S-CAM3	NC_031906
S-CAM4	NC_031900
S-CAM7	NC_031927
S-CAM8_0608BI06	HQ634178
S-CAM9	NC_031922
S-CBM2	HQ633061
S-CBP1	NC_025456
S-CBP2	NC_025455
S-CBP3	NC_025461
S-CBP4	NC_025464
S-CBP42	NC_029031
S-CBS1	NC_016164
S-CBS2	NC_015463
S-CBS3	NC_015465
S-CBS4	HQ634148
S-CRM01	NC_015569
S-EIVl	KJ410740
S-IOM18	HQ317383
S-MbCM100	NC_023584
S-MbCM7	NC_023587
S-PM2	NC_006820
S-RIM32_RW-108-0702	KU594606
S-RIM44_W2-07-0710	KU594607
S-RIM50_RW-29-0704	KU594605
S-RIM8_A.HR1	JF974288
S-RIP1	HQ317388
S-RIP2	HQ317389
S-RSM4	NC_013085
S-ShM2	NC_015281
S-SKS1	HQ633071
S-SM1	NC_015282
S-SM2	NC_015279
S-SSM2	JF974292
S-SSM4	NC_020875
S-SSM5	NC_015289
S-SSM7	NC_015287
S-WAM1_0810PA09	KU686210
S-WAM2_0810PA29	KU686211
SS120-1	NC_020872
Syn1	GU071105
Syn10	HQ634191
Syn19	NC_015286
Syn2	HQ634190
Syn30	NC_021072
Syn33	NC_015285
Syn5	NC_009531
Syn9	NC_008296
S-TIM5	NC_019516
P-TIM40	NC_028663
